Crime Type,Crime Subtype,Crime Description,Crime Severity,Crime Status,Location,Area/Neighborhood,City,State/Region,Country,Location Type,Date,Time,Day of the Week,Season,Duration,Victim Name,Victim Age,Victim Gender,Victim Contact Information,Victim Statement,Injuries Sustained,Property Lost/Damaged,Suspect Name,Suspect Age,Suspect Gender,Suspect Description,Suspect Criminal History,Suspect Modus Operandi,Number of Suspects,Witness Name,Witness Statement,Witness Contact Information,Evidence Type,Evidence Description,Evidence Collection Date,Evidence Location,Arrests Made,Charges Filed,Method of Entry,Weapons Used,Tools Used,Escape Route,Monetary Loss,Motive,Crime Pattern,Gang Involvement,Terrorism Link,Media Coverage,Public Alert Issued,Social Media Activity,Source of Information,Confidentiality Level,Tags/Keywords
Rioting,Political Riot,Provident hic quos cum quod quibusdam laboriosam delectus modi ad tempore atque tenetur magnam nostrum.,Moderate,Closed,"H.No. 251
Goda Ganj, Durgapur-146311",Dewas,Ludhiana,Punjab,India,Public Space,1979-03-29,15:25:35,Thursday,Monsoon,80 minutes,Urvi Madan,45,Female,917516362580,"The pleasure of pleasure to consequences of rejoicing to prevent them, and the accused services fall in favor of them.",Fractured arm,Car windshield broken,Keya Gupta,45,Male,Cupiditate quis alias sint optio repudiandae quis reiciendis odit explicabo aspernatur voluptates quis. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Hacked into bank accounts,4,Onkar Choudhury,"The truth of the offices, indeed, freedom of desire to acquire all of the best to obtain the discovery of the discovery of the discovery of the discovery.",910046911098,Weapon,Murder weapon recovered from trash,2020-05-11,"H.No. 333, Sama Path, Orai-841913",No,Bailable offense under IPC 420,Unlocked Door,,,Used a tunnel behind the house,Rs. 145534,Financial Gain,Yes,No,Yes,Yes,Yes,Yes,Police Report,Classified,political riot
Kidnapping/Abduction,Child Abduction,Reprehenderit totam perspiciatis rem voluptates placeat explicabo unde eum reprehenderit et suscipit a eos.,Minor,Solved,"75/40, Bansal Path, Dehri 648404",Bhind,Ludhiana,Punjab,India,Commercial,1973-05-22,13:35:52,Monday,Autumn,62 minutes,Aayush Ram,54,Male,910570621772,"Failure to carry messages with no resilience of these things from the body, for as free of the consumer is not to which they are here to fall into the lifting of the snacks.",Head injury,Laptop and cash stolen,Arhaan Talwar,33,Male,Consequuntur saepe facilis tenetur quae nihil voluptas eius molestiae quam ipsum aut repellendus eum rerum. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Set fire to the evidence,2,Aaryahi Sankaran,"It is important that the freedom of the freedom of an insulting interpretation of the delectiosam discovered the truly chased, however, from criticized the pain which is great.",914808391975,Weapon,Hacked emails with transaction details,2004-03-15,"553
Viswanathan Zila, Phagwara-750625",Yes,Charged under IPC 392 for robbery,Forced Entry,Knife,Lockpick,Ran into a crowded market,Rs. 295500,Financial Gain,No,Yes,No,Yes,Yes,Yes,Victim Statement,Restricted,child abduction
Assault,Sexual Assault,Cumque in dolores corrupti sit earum quis unde culpa molestiae blanditiis reprehenderit necessitatibus atque illo distinctio distinctio praesentium dignissimos rerum perferendis est nesciunt enim.,Moderate,Under Investigation,"31/23, Khanna Ganj
Guna-389007",Gaya,Ludhiana,Punjab,India,Public Space,2023-02-04,06:23:41,Tuesday,Monsoon,84 minutes,Nehmat Balasubramanian,41,Female,7817243602,"Follow the time to be rejecting the pain of the times the discovery of the finder, which with the thing itself to do some things for the pwned choice of praise.",Gunshot wound,Jewelry worth Rs. 2 lakhs stolen,Vivaan Bahl,24,Male,Voluptatum consequuntur debitis atque facere placeat beatae aliquam labore quod. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Threatened victims with a knife,1,Vidur Hari,I do not have to accuse you to obtain a certain distinction of truth.,4152058427,DNA Sample,CCTV footage showing the suspect,1988-06-26,"23, Borra Ganj
Mira-Bhayandar-895253",Yes,Arrested and charged for human trafficking,Forced Entry,Gun,Hacking Software,Fled on a stolen bike,Rs. 67150,Personal Vendetta,No,No,Yes,Yes,No,No,Police Report,Restricted,sexual assault
Gang Violence,Gang Clash,Tempora nam consequuntur magni fugit provident atque hic possimus fuga eveniet autem odit velit nobis voluptas minima vel optio et aperiam sint inventore itaque dolorum accusantium.,Minor,Solved,"H.No. 883
Banik Nagar, Guwahati-876879",Hospet,Ludhiana,Punjab,India,Residential,1999-03-29,04:21:38,Saturday,Autumn,103 minutes,Yasmin Biswas,47,Male,917546322423,Hindens praise never discomfort and do not welcome sufferings of the entire way to obtain an easy way to comply with choosing the mainstream but.,Burn injuries,Jewelry worth Rs. 2 lakhs stolen,Oorja Bose,27,Female,Eaque nulla itaque eligendi ut ratione adipisci vel eligendi asperiores. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Hacked into bank accounts,2,Kiara Gara,"This is the most blinded pleasure, who is important to which the responsibilities of the needs of the needs, but the labor of the times of some of them, not at the enduring abandoned pain.",5980210890,CCTV Footage,Hacked emails with transaction details,2024-08-02,"10/51
Kibe Marg
Vijayawada-762647",No,Arrested and charged for human trafficking,Unlocked Door,,Hacking Software,Left the country using a fake passport,Rs. 405612,Gang Rivalry,No,Yes,Yes,Yes,No,No,Police Report,Restricted,gang clash
Financial Crimes,Fraud,Occaecati sed voluptas quo quam nobis perferendis amet libero rerum inventore quae.,Moderate,Solved,"057
Das
Panihati 611223",Latur,Ludhiana,Punjab,India,Public Space,2017-11-04,18:06:24,Thursday,Monsoon,53 minutes,Zaina Chacko,54,Female,4605699881,The truth of the endurance of the pleasures of the pleasures of the work of the work of the pleasure of the.,Minor bruises,Laptop and cash stolen,Hunar Kala,48,Other,Iure aperiam quidem non esse veritatis nemo. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Hacked into bank accounts,4,Devansh Swaminathan,"It is a flight to an explanation that the consequences of the flattery of the methods of a certain thing that is at the present, and the present corrupt.",2084501000,CCTV Footage,Murder weapon recovered from trash,2005-05-12,"214, Venkatesh Nagar, Naihati-924509",No,Bailable offense under IPC 420,Security Breach,Gun,Lockpick,Escaped using a fake taxi,Rs. 466308,Personal Vendetta,Yes,Yes,Yes,No,No,No,Witness Account,Classified,fraud
Rioting,Public Disturbance,Illum laudantium enim optio occaecati perferendis voluptatem nesciunt aperiam ipsa porro eos rem nemo.,Moderate,Reported,"H.No. 88
Rout Road
Narasaraopet 183777",Jaipur,Ludhiana,Punjab,India,Commercial,2004-01-25,15:42:25,Wednesday,Autumn,93 minutes,Samaira Bhavsar,20,Female,7976859019,Selected hates tiny repel runs really pain is the pain to be undertaken to be taken to escape the film to avoid the services of the time to be called.,Minor bruises,Jewelry worth Rs. 2 lakhs stolen,Hansh Chandra,43,Male,Occaecati doloremque temporibus architecto incidunt inventore aliquam est vitae earum quam excepturi impedit quaerat eos earum. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Threatened victims with a knife,4,Prisha Sethi,"At that time, these things are to fall short of hatred of the exercise do not know and the same, but the distinction of it is, indeed, is easy to accuse it to be here and what the pain.",915288252391,Fingerprint,Bank statements proving embezzlement,2023-05-01,"H.No. 65
Sidhu Nagar
Nashik 795933",No,Under IPC 302 for murder,Unlocked Door,Gun,,Used a tunnel behind the house,Rs. 384904,Personal Vendetta,Yes,Yes,No,Yes,Yes,Yes,Witness Account,Classified,public disturbance
Financial Crimes,Embezzlement,Veniam provident repellendus rem voluptates praesentium doloremque placeat odio cumque reiciendis magnam rerum voluptate iure possimus quidem eligendi ipsa ducimus id temporibus aspernatur.,Severe,Solved,"206
Khare Street, Ahmednagar-091587",Navi Mumbai,Ludhiana,Punjab,India,Public Space,1994-05-29,21:28:55,Sunday,Monsoon,53 minutes,Kimaya Vaidya,59,Female,7345008862,The right to achieve the life of life we ​​can be taken to the pleasure of the pleasure of pleasure is the pleasure of pain.,Burn injuries,Jewelry worth Rs. 2 lakhs stolen,Kabir Golla,30,Male,Inventore sequi tenetur reprehenderit deserunt error expedita. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Used fake IDs to commit fraud,1,Samar Shanker,He asks the choice of the benefit or blessed blinded takes flight to the pleasure of the consecrated to follow that any pleasure.,916554596082,CCTV Footage,Hacked emails with transaction details,1999-01-03,"H.No. 356, Chaudhary Path, Gangtok 869167",Yes,Bailable offense under IPC 420,Forced Entry,,,Used a tunnel behind the house,Rs. 53832,Gang Rivalry,No,No,No,No,Yes,No,Victim Statement,Restricted,embezzlement
Traffic and Vehicle Crimes,Hit-and-Run,Ratione nobis ex quidem sapiente laborum nihil ea earum expedita voluptatibus perspiciatis sequi explicabo maxime impedit unde debitis blanditiis laudantium ullam provident commodi.,Moderate,Reported,"82/713, Sani Street
Thiruvananthapuram 853959",Mangalore,Ludhiana,Punjab,India,Residential,1990-05-08,08:57:53,Saturday,Monsoon,90 minutes,Anahi Basak,44,Other,8859251228,Unless the needs of the needs are bound to be the tiny pains of our pain.,Minor bruises,Gold chain and mobile phone stolen,Shlok Sehgal,20,Male,Expedita ex tempora cupiditate facilis alias commodi iure aperiam explicabo. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Used a stolen car for escape,3,Arnav Suri,"Therefore, they do not know the right of the mind, indeed, to receive the will of the gods will be accepted by the consectetur pleasure of all.",913863522902,DNA Sample,Murder weapon recovered from trash,1995-03-17,"85/844, Bhalla
Malda-713149",Yes,Bailable offense under IPC 420,Unlocked Door,,Lockpick,Boarded a train to another city,Rs. 264647,Gang Rivalry,No,Yes,Yes,Yes,No,No,Police Report,Public,hit-and-run
Financial Crimes,Fraud,Autem corporis ea sapiente voluptatem consequuntur cumque possimus cumque ipsa similique modi distinctio sint doloremque cumque totam aliquam reprehenderit ea cupiditate similique.,Minor,Solved,"H.No. 234, Bhatnagar Circle, Bahraich 184455",Nagaon,Ludhiana,Punjab,India,Public Space,1994-09-30,03:21:09,Tuesday,Summer,6 minutes,Misha Roy,21,Female,7708823499,No one is the most of the free as pleasures of the needs of very often selected an option architect.,"No physical injuries, but mental trauma",Laptop and cash stolen,Reyansh Sridhar,25,Other,Velit aperiam nihil explicabo quis id quibusdam iste qui molestias incidunt expedita repudiandae. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Used a stolen car for escape,2,Shray Khanna,"Architectus, anxious, but error pleasures of the body of the body that unless you accuse the distinction of the discovery of the body of the body, the distinction is bound to be selected as a body.",4125629473,DNA Sample,Hacked emails with transaction details,2011-03-06,"549, Reddy Circle
Bardhaman 005656",No,Under IPC 302 for murder,Security Breach,Knife,Hacking Software,Fled on a stolen bike,Rs. 428042,Gang Rivalry,Yes,Yes,Yes,No,No,No,Witness Account,Public,fraud
Financial Crimes,Money Laundering,Delectus quam accusantium aperiam possimus officia eveniet explicabo vel optio ex autem at commodi tempore facere sunt.,Minor,Reported,"04/886
Sankaran Chowk, Secunderabad-477766",Anand,Ludhiana,Punjab,India,Residential,2011-11-13,22:59:12,Wednesday,Monsoon,86 minutes,Zaina Guha,53,Female,919562397897,The result of cheering no one hinders provision of the pain of exercise will explain further.,Head injury,Laptop and cash stolen,Arnav Dewan,42,Female,Quaerat sequi alias corporis cum provident iusto culpa consequatur laboriosam laborum itaque consequuntur libero quam repudiandae. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Used a stolen car for escape,3,Anahita Grover,It is obliged to be rejected easily criticized pain or not to some of any accusing the truth of the truth to explain the pleasure of something will never do out.,2044588013,CCTV Footage,Witness video recording,1976-12-10,"H.No. 152
Vaidya Zila
Ambarnath-008781",No,Arrested and charged for human trafficking,Security Breach,Gun,,Fled on a stolen bike,Rs. 353564,Financial Gain,Yes,No,Yes,Yes,No,Yes,Police Report,Classified,money laundering
